Dish Name,Ingredients
Chicken Biryani,"cardamom, saffron, chicken, yogurt, rice"
Pasta Carbonara,"olive oil, tomato sauce, cheese, pasta, basil"
Spanish Paella,"saffron, rice, seafood, peppers, onions"
Lasagna,"pasta, onion, cheese, ground beef, tomato sauce"
Tacos,"cheese, salsa, beef, tortilla, lettuce"
Spanish Paella,"peppers, rice, seafood, onions, saffron"
Pad Thai,"peanut, egg, lime, rice noodles, shrimp"
Spanish Paella,"rice, saffron, onions, seafood, peppers"
BBQ Ribs,"spices, pork, garlic, brown sugar"
Greek Salad,"lettuce, cucumber, dressing, olives, feta cheese, tomato"
Pho,"basil, lime, broth, rice noodles"
Turkey Sandwich,"cheese, turkey, tomato, bread, lettuce, mayonnaise"
Pho,"rice noodles, basil, broth, beef, chili"
Cereal,"nuts, oats, honey, milk"
Shawarma,"chicken, pita, yogurt, garlic, cumin"
Shawarma,"cumin, chicken, yogurt, pita, garlic"
Sushi,"salmon, avocado, rice, seaweed, soy sauce"
BBQ Ribs,"spices, brown sugar, pork, garlic, BBQ sauce"
Grilled Chicken,"chicken, tomato, seasoning, lettuce"
Lasagna,"ground beef, garlic, onion, pasta, cheese"
Caesar Salad,"parmesan, Caesar dressing, chicken, croutons, lettuce"
Turkey Sandwich,"lettuce, cheese, tomato, mayonnaise"
Turkey Sandwich,"bread, tomato, mayonnaise, turkey, cheese, lettuce"
BBQ Ribs,"spices, brown sugar, pork, garlic, BBQ sauce"
Dim Sum,"soy sauce, pork, ginger, shrimp, dumpling wrapper"
Shawarma,"yogurt, cumin, chicken, pita"
Greek Salad,"lettuce, dressing, olives, feta cheese, cucumber"
Beef Steak,"butter, beef, salt, pepper, garlic"
Omelette,"salt, cheese, pepper, onions, eggs, butter"
BBQ Ribs,"BBQ sauce, pork, brown sugar, garlic, spices"
Sushi,"soy sauce, seaweed, salmon, avocado, rice"
Pad Thai,"rice noodles, lime, egg, peanut"
Greek Salad,"tomato, lettuce, olives, dressing"
Beef Steak,"beef, butter, salt, pepper, garlic"
Turkey Sandwich,"lettuce, tomato, turkey, mayonnaise, bread, cheese"
Greek Salad,"lettuce, feta cheese, olives, cucumber, tomato"
Omelette,"eggs, butter, onions, cheese"
Pancakes,"eggs, butter, milk, vanilla"
Grilled Chicken,"tomato, garlic, lettuce, seasoning, chicken"
Beef Steak,"butter, salt, pepper, garlic, beef"
Shawarma,"pita, yogurt, chicken, garlic"
Chicken Biryani,"saffron, yogurt, chicken, spices, cardamom, rice"
Tacos,"lettuce, salsa, beef, tortilla, cheese"
Dim Sum,"soy sauce, dumpling wrapper, pork, shrimp"
Sushi,"salmon, rice, avocado, seaweed"
Shawarma,"yogurt, garlic, pita, chicken, cumin"
Pho,"broth, basil, chili, lime"
Spanish Paella,"peppers, onions, seafood, saffron, rice"
Sushi,"soy sauce, seaweed, rice, salmon"
Beef Steak,"garlic, butter, salt, pepper, beef"
Spanish Paella,"seafood, rice, saffron, onions"
Chicken Biryani,"chicken, cardamom, saffron, yogurt, spices"
Lasagna,"pasta, cheese, ground beef, tomato sauce, garlic"
Beef Steak,"butter, salt, garlic, pepper"
Butter Chicken,"onions, spices, curry powder, coconut milk, chicken"
Butter Chicken,"spices, coconut milk, curry powder, chicken, onions"
Butter Chicken,"coconut milk, chicken, onions, curry powder"
Lasagna,"ground beef, onion, tomato sauce, garlic, cheese"
Sushi,"soy sauce, avocado, seaweed, salmon, rice"
Pancakes,"vanilla, flour, eggs, milk, butter, sugar"
Shawarma,"chicken, garlic, yogurt, cumin, pita"
Greek Salad,"olives, feta cheese, cucumber, tomato, lettuce"
Tacos,"cheese, lettuce, salsa, tortilla, beef"
Tacos,"tortilla, lettuce, salsa, cheese, beef"
Pancakes,"sugar, eggs, milk, flour, butter, vanilla"
Shawarma,"garlic, yogurt, pita, cumin"
Greek Salad,"dressing, tomato, feta cheese, cucumber, olives, lettuce"
Shawarma,"garlic, yogurt, pita, cumin"
Chicken Biryani,"cardamom, chicken, saffron, yogurt"
Lasagna,"onion, garlic, ground beef, cheese"
Grilled Chicken,"chicken, tomato, garlic, lettuce"
Lasagna,"tomato sauce, ground beef, pasta, cheese, garlic"
Sushi,"seaweed, salmon, avocado, soy sauce, rice"
Tacos,"beef, lettuce, cheese, tortilla, salsa"
Omelette,"butter, cheese, onions, eggs"
Shawarma,"cumin, garlic, yogurt, pita, chicken"
BBQ Ribs,"pork, spices, garlic, BBQ sauce, brown sugar"
Butter Chicken,"spices, chicken, coconut milk, onions, curry powder"
Pasta Carbonara,"basil, olive oil, pasta, cheese"
Caesar Salad,"chicken, parmesan, Caesar dressing, lettuce, croutons"
Tacos,"salsa, cheese, tortilla, lettuce, beef"
Spanish Paella,"peppers, saffron, rice, onions, seafood"
Cereal,"milk, oats, honey, nuts, fruits"
Grilled Chicken,"seasoning, lettuce, tomato, garlic, chicken"
Caesar Salad,"parmesan, croutons, chicken, Caesar dressing, lettuce"
Chicken Biryani,"rice, cardamom, spices, chicken, saffron, yogurt"
Spanish Paella,"saffron, seafood, rice, onions, peppers"
Cereal,"honey, oats, fruits, nuts, milk"
Spanish Paella,"saffron, onions, rice, peppers, seafood"
Spanish Paella,"peppers, rice, seafood, onions"
Caesar Salad,"parmesan, Caesar dressing, chicken, lettuce, croutons"
Cereal,"honey, nuts, oats, milk, fruits"
Shawarma,"chicken, cumin, yogurt, pita, garlic"
Dim Sum,"pork, dumpling wrapper, ginger, shrimp"
Shawarma,"garlic, cumin, pita, chicken"
Dim Sum,"shrimp, pork, ginger, soy sauce"
Dim Sum,"pork, ginger, dumpling wrapper, soy sauce, shrimp"
Chicken Biryani,"chicken, rice, yogurt, saffron, spices"
Omelette,"butter, eggs, pepper, salt, cheese, onions"
Butter Chicken,"spices, onions, chicken, curry powder, coconut milk"
Tacos,"cheese, lettuce, beef, salsa"
Spanish Paella,"peppers, saffron, seafood, onions, rice"
Sushi,"avocado, soy sauce, rice, seaweed, salmon"
Dim Sum,"shrimp, pork, soy sauce, ginger, dumpling wrapper"
Spanish Paella,"rice, saffron, onions, peppers, seafood"
Spanish Paella,"seafood, onions, saffron, rice, peppers"
Sushi,"avocado, seaweed, soy sauce, rice"
Omelette,"cheese, eggs, pepper, salt, butter"
Dim Sum,"soy sauce, dumpling wrapper, ginger, pork, shrimp"
Chicken Biryani,"saffron, rice, spices, chicken, cardamom"
Pasta Carbonara,"pasta, tomato sauce, cheese, olive oil, basil"
Dim Sum,"pork, shrimp, dumpling wrapper, ginger, soy sauce"
Greek Salad,"feta cheese, cucumber, lettuce, olives"
Omelette,"butter, cheese, pepper, eggs, onions, salt"
Butter Chicken,"curry powder, onions, coconut milk, spices"
BBQ Ribs,"BBQ sauce, brown sugar, pork, garlic"
Spring Rolls,"cabbage, peanut sauce, rice paper, carrots"
Pancakes,"sugar, butter, vanilla, flour, eggs"
Caesar Salad,"croutons, parmesan, Caesar dressing, lettuce, chicken"
Butter Chicken,"curry powder, onions, spices, coconut milk"
Caesar Salad,"lettuce, croutons, Caesar dressing, chicken, parmesan"
Grilled Chicken,"chicken, tomato, seasoning, garlic, lettuce"
Greek Salad,"tomato, lettuce, cucumber, olives, feta cheese"
Grilled Chicken,"seasoning, lettuce, chicken, garlic"
Caesar Salad,"chicken, lettuce, Caesar dressing, parmesan"
Tacos,"tortilla, beef, salsa, lettuce"
Shawarma,"pita, yogurt, chicken, garlic, cumin"
Pancakes,"eggs, butter, vanilla, sugar"
Japanese Ramen,"scallions, egg, ginger, pork, noodles, broth"
Turkey Sandwich,"turkey, lettuce, cheese, tomato"
BBQ Ribs,"spices, garlic, BBQ sauce, brown sugar, pork"
Pho,"lime, beef, chili, broth"
Shawarma,"pita, chicken, cumin, garlic"
Pancakes,"butter, flour, milk, vanilla, sugar, eggs"
Spanish Paella,"saffron, onions, rice, seafood, peppers"
Omelette,"eggs, cheese, onions, pepper"
Omelette,"butter, eggs, onions, salt"
Sushi,"seaweed, salmon, rice, avocado, soy sauce"
Caesar Salad,"Caesar dressing, chicken, parmesan, croutons"
Grilled Chicken,"lettuce, chicken, tomato, garlic"
Pad Thai,"lime, rice noodles, shrimp, peanut, egg"
Pad Thai,"shrimp, peanut, lime, egg, rice noodles"
Dim Sum,"dumpling wrapper, shrimp, pork, soy sauce, ginger"
Clam Chowder,"cream, potato, onion, celery, clam"
Grilled Chicken,"tomato, seasoning, chicken, lettuce, garlic"
Grilled Chicken,"lettuce, tomato, chicken, garlic, seasoning"
Caesar Salad,"parmesan, lettuce, croutons, Caesar dressing"
Clam Chowder,"clam, celery, onion, cream, potato"
Lasagna,"garlic, pasta, onion, ground beef, tomato sauce"
Chicken Biryani,"saffron, yogurt, cardamom, rice"
Greek Salad,"dressing, lettuce, tomato, olives, cucumber, feta cheese"
Caesar Salad,"lettuce, croutons, chicken, parmesan"
Spring Rolls,"carrots, peanut sauce, rice paper, shrimp, cabbage"
Japanese Ramen,"noodles, scallions, ginger, broth, egg"
Pho,"rice noodles, chili, beef, broth, basil"
Dim Sum,"pork, dumpling wrapper, soy sauce, ginger, shrimp"
Butter Chicken,"chicken, spices, coconut milk, curry powder, onions"
Sushi,"seaweed, rice, soy sauce, avocado"
Beef Steak,"beef, garlic, butter, pepper"
Dim Sum,"ginger, shrimp, soy sauce, pork, dumpling wrapper"
Spanish Paella,"saffron, rice, onions, peppers, seafood"
Japanese Ramen,"scallions, egg, broth, pork, ginger"
Dim Sum,"ginger, pork, shrimp, dumpling wrapper, soy sauce"
Pancakes,"milk, flour, vanilla, sugar, eggs, butter"
Spring Rolls,"carrots, shrimp, cabbage, rice paper"
Pho,"chili, beef, lime, basil"
Dim Sum,"shrimp, ginger, soy sauce, dumpling wrapper, pork"
Pho,"basil, rice noodles, broth, chili, lime, beef"
Lasagna,"tomato sauce, cheese, pasta, garlic, ground beef, onion"
Clam Chowder,"potato, cream, onion, clam"
Turkey Sandwich,"turkey, tomato, mayonnaise, lettuce, bread, cheese"
Omelette,"salt, onions, eggs, pepper"
Greek Salad,"dressing, cucumber, feta cheese, tomato"
Pancakes,"flour, sugar, butter, vanilla"
Pad Thai,"peanut, shrimp, lime, egg, rice noodles"
Butter Chicken,"coconut milk, curry powder, onions, spices, chicken"
Pasta Carbonara,"olive oil, cheese, tomato sauce, pasta"
Omelette,"onions, eggs, cheese, pepper"
Grilled Chicken,"lettuce, garlic, chicken, seasoning, tomato"
Butter Chicken,"curry powder, coconut milk, onions, chicken"
Pancakes,"vanilla, milk, butter, eggs, flour"
Clam Chowder,"onion, potato, cream, celery, clam"
Spanish Paella,"seafood, onions, saffron, rice, peppers"
Shawarma,"garlic, pita, yogurt, cumin, chicken"
BBQ Ribs,"BBQ sauce, garlic, spices, brown sugar"
Spanish Paella,"saffron, onions, seafood, peppers, rice"
Turkey Sandwich,"lettuce, mayonnaise, bread, cheese, turkey, tomato"
Turkey Sandwich,"bread, lettuce, turkey, cheese, tomato"
Chicken Biryani,"rice, cardamom, saffron, spices, chicken"
Shawarma,"garlic, cumin, pita, yogurt, chicken"
Tacos,"tortilla, cheese, beef, lettuce, salsa"
Pho,"lime, chili, broth, basil, rice noodles, beef"
Lasagna,"tomato sauce, ground beef, pasta, onion"
Turkey Sandwich,"bread, turkey, tomato, cheese, lettuce"
Omelette,"pepper, onions, cheese, butter, eggs, salt"
Beef Steak,"garlic, pepper, butter, beef, salt"
Japanese Ramen,"noodles, broth, egg, pork, scallions, ginger"
Omelette,"cheese, pepper, eggs, onions, salt"
Shawarma,"chicken, yogurt, pita, garlic"
Pancakes,"eggs, sugar, butter, milk, flour"
Spanish Paella,"rice, seafood, peppers, saffron, onions"
Beef Steak,"pepper, beef, salt, garlic"
Greek Salad,"lettuce, tomato, dressing, olives"
Japanese Ramen,"broth, noodles, egg, pork"
BBQ Ribs,"pork, brown sugar, BBQ sauce, spices, garlic"
Sushi,"rice, salmon, avocado, soy sauce, seaweed"
Dim Sum,"soy sauce, shrimp, pork, dumpling wrapper"
Dim Sum,"ginger, shrimp, soy sauce, dumpling wrapper, pork"
Spanish Paella,"peppers, saffron, seafood, onions"
Butter Chicken,"spices, chicken, coconut milk, curry powder"
Chicken Biryani,"yogurt, chicken, cardamom, saffron"
Japanese Ramen,"egg, ginger, broth, noodles"
Tacos,"tortilla, lettuce, salsa, cheese"
Greek Salad,"olives, cucumber, dressing, tomato, lettuce, feta cheese"
Spring Rolls,"rice paper, peanut sauce, carrots, cabbage"
Tacos,"cheese, beef, lettuce, salsa, tortilla"
Omelette,"onions, butter, salt, eggs, cheese, pepper"
Pasta Carbonara,"basil, olive oil, cheese, pasta, tomato sauce"
Spanish Paella,"seafood, onions, peppers, saffron"
Greek Salad,"lettuce, olives, tomato, cucumber, dressing"
Omelette,"butter, cheese, onions, eggs"
Dim Sum,"shrimp, dumpling wrapper, soy sauce, pork"
Butter Chicken,"spices, curry powder, coconut milk, onions"
Pad Thai,"lime, egg, shrimp, peanut"
Beef Steak,"beef, butter, salt, garlic, pepper"
Pancakes,"eggs, sugar, butter, flour"
Butter Chicken,"curry powder, spices, chicken, coconut milk, onions"
Grilled Chicken,"garlic, tomato, lettuce, chicken, seasoning"
Lasagna,"cheese, ground beef, onion, garlic, pasta, tomato sauce"
Shawarma,"pita, chicken, yogurt, cumin, garlic"
Caesar Salad,"lettuce, chicken, Caesar dressing, parmesan"
Pad Thai,"lime, rice noodles, peanut, shrimp, egg"
Pancakes,"vanilla, eggs, sugar, flour, butter, milk"
Pad Thai,"rice noodles, egg, lime, peanut, shrimp"
Greek Salad,"olives, dressing, feta cheese, cucumber"
Butter Chicken,"curry powder, spices, coconut milk, onions, chicken"
Pho,"basil, rice noodles, broth, beef"
Sushi,"soy sauce, rice, avocado, salmon, seaweed"
Turkey Sandwich,"turkey, mayonnaise, bread, cheese, tomato"
Lasagna,"ground beef, pasta, garlic, tomato sauce, onion, cheese"
Pancakes,"butter, eggs, vanilla, flour"
Spanish Paella,"rice, peppers, seafood, saffron, onions"
Butter Chicken,"chicken, curry powder, spices, onions, coconut milk"
Greek Salad,"cucumber, tomato, lettuce, feta cheese"
Grilled Chicken,"lettuce, chicken, seasoning, tomato"
Japanese Ramen,"noodles, egg, broth, scallions"
Dim Sum,"soy sauce, shrimp, dumpling wrapper, pork"
Greek Salad,"lettuce, feta cheese, olives, tomato, cucumber, dressing"
Shawarma,"yogurt, pita, cumin, chicken, garlic"
Pasta Carbonara,"tomato sauce, pasta, basil, olive oil, cheese"
Pasta Carbonara,"tomato sauce, cheese, olive oil, basil, pasta"
Tacos,"cheese, salsa, tortilla, beef"
Dim Sum,"shrimp, pork, dumpling wrapper, soy sauce, ginger"
Tacos,"lettuce, cheese, beef, tortilla, salsa"
Omelette,"butter, salt, cheese, pepper, onions"
Turkey Sandwich,"cheese, tomato, turkey, bread, mayonnaise, lettuce"
Spanish Paella,"seafood, peppers, onions, rice, saffron"
Pancakes,"flour, sugar, butter, milk, vanilla"
Greek Salad,"olives, cucumber, dressing, tomato, lettuce, feta cheese"
Dim Sum,"dumpling wrapper, shrimp, soy sauce, ginger, pork"
Omelette,"pepper, eggs, onions, cheese, butter, salt"
Lasagna,"cheese, garlic, pasta, onion"
Sushi,"seaweed, salmon, rice, avocado, soy sauce"
BBQ Ribs,"spices, BBQ sauce, brown sugar, pork, garlic"
Cereal,"milk, honey, nuts, oats"
Lasagna,"cheese, ground beef, onion, garlic"
Butter Chicken,"spices, onions, coconut milk, chicken, curry powder"
Caesar Salad,"parmesan, croutons, Caesar dressing, lettuce"
Pancakes,"eggs, sugar, milk, vanilla"
Beef Steak,"garlic, butter, pepper, salt, beef"
Turkey Sandwich,"cheese, turkey, lettuce, bread, tomato"
Spring Rolls,"peanut sauce, cabbage, carrots, shrimp"
Turkey Sandwich,"turkey, cheese, lettuce, bread"
Greek Salad,"tomato, olives, feta cheese, dressing, lettuce, cucumber"
BBQ Ribs,"BBQ sauce, pork, spices, brown sugar"
Clam Chowder,"onion, celery, potato, cream, clam"
Butter Chicken,"onions, chicken, coconut milk, curry powder, spices"
Japanese Ramen,"noodles, egg, pork, broth, ginger"
Pancakes,"butter, vanilla, sugar, milk"
Spanish Paella,"saffron, onions, peppers, rice, seafood"
Lasagna,"garlic, pasta, onion, ground beef, cheese"
Shawarma,"pita, chicken, garlic, cumin"
Sushi,"rice, seaweed, avocado, soy sauce, salmon"
Butter Chicken,"curry powder, onions, spices, chicken"
Pho,"beef, lime, chili, basil, broth"
Pasta Carbonara,"cheese, basil, pasta, olive oil, tomato sauce"
Turkey Sandwich,"turkey, lettuce, tomato, bread"
Chicken Biryani,"yogurt, rice, saffron, chicken, spices, cardamom"
Clam Chowder,"potato, cream, clam, celery"
Pancakes,"milk, vanilla, sugar, eggs"
Pancakes,"milk, butter, vanilla, flour"
Beef Steak,"pepper, butter, garlic, salt"
Grilled Chicken,"garlic, tomato, chicken, seasoning"
Greek Salad,"feta cheese, olives, dressing, lettuce, cucumber, tomato"
Spring Rolls,"carrots, peanut sauce, shrimp, rice paper"
Pancakes,"eggs, flour, butter, sugar, vanilla"
Clam Chowder,"clam, potato, onion, celery, cream"
Beef Steak,"salt, beef, pepper, garlic"
Clam Chowder,"onion, clam, potato, celery, cream"
Clam Chowder,"clam, cream, potato, onion"
Greek Salad,"tomato, dressing, lettuce, feta cheese"
Pho,"lime, broth, rice noodles, beef, chili, basil"
Turkey Sandwich,"bread, lettuce, cheese, turkey"
Grilled Chicken,"lettuce, tomato, seasoning, chicken, garlic"
Shawarma,"yogurt, garlic, pita, cumin, chicken"
Cereal,"oats, milk, nuts, fruits"
Pho,"rice noodles, broth, basil, chili, beef, lime"
Tacos,"beef, lettuce, tortilla, cheese, salsa"
Omelette,"eggs, cheese, pepper, salt, onions, butter"
Greek Salad,"tomato, lettuce, olives, cucumber, dressing"
BBQ Ribs,"pork, BBQ sauce, brown sugar, spices, garlic"
Omelette,"cheese, eggs, pepper, onions, salt, butter"
Greek Salad,"cucumber, tomato, feta cheese, lettuce, olives, dressing"
Beef Steak,"beef, pepper, salt, garlic"
Spring Rolls,"rice paper, cabbage, shrimp, carrots"
Butter Chicken,"curry powder, chicken, coconut milk, onions, spices"
Chicken Biryani,"rice, spices, yogurt, saffron"
Greek Salad,"cucumber, olives, dressing, tomato, lettuce"
Pad Thai,"peanut, shrimp, lime, egg, rice noodles"
Turkey Sandwich,"bread, lettuce, mayonnaise, tomato, cheese"
Turkey Sandwich,"bread, mayonnaise, cheese, lettuce, tomato, turkey"
BBQ Ribs,"brown sugar, spices, pork, garlic, BBQ sauce"
Omelette,"pepper, cheese, salt, eggs, onions"
Tacos,"tortilla, cheese, lettuce, beef"
Sushi,"seaweed, rice, avocado, salmon, soy sauce"
Greek Salad,"olives, dressing, tomato, lettuce"
Caesar Salad,"croutons, parmesan, lettuce, chicken, Caesar dressing"
Clam Chowder,"clam, cream, celery, potato"
Lasagna,"ground beef, tomato sauce, cheese, onion"
Pasta Carbonara,"tomato sauce, olive oil, basil, pasta, cheese"
Pancakes,"sugar, milk, eggs, butter, vanilla, flour"
Turkey Sandwich,"lettuce, bread, cheese, mayonnaise"
Sushi,"avocado, soy sauce, seaweed, rice, salmon"
Turkey Sandwich,"tomato, cheese, turkey, mayonnaise, lettuce"
Tacos,"tortilla, salsa, lettuce, beef, cheese"
Grilled Chicken,"tomato, chicken, seasoning, garlic, lettuce"
Grilled Chicken,"chicken, lettuce, tomato, seasoning, garlic"
Omelette,"salt, eggs, cheese, butter"
Spanish Paella,"peppers, rice, seafood, onions, saffron"
Chicken Biryani,"chicken, saffron, spices, cardamom, rice, yogurt"
Pancakes,"flour, milk, butter, eggs"
Clam Chowder,"celery, potato, cream, clam, onion"
Omelette,"eggs, onions, cheese, butter, pepper, salt"
Sushi,"salmon, avocado, soy sauce, rice, seaweed"
Chicken Biryani,"saffron, rice, cardamom, spices"
Tacos,"tortilla, lettuce, cheese, beef, salsa"
Beef Steak,"garlic, butter, salt, pepper, beef"
Spanish Paella,"peppers, saffron, seafood, rice"
Turkey Sandwich,"bread, turkey, cheese, tomato"
Tacos,"beef, salsa, cheese, tortilla"
Pancakes,"milk, flour, eggs, sugar, butter, vanilla"
Chicken Biryani,"yogurt, rice, chicken, cardamom, saffron, spices"
Shawarma,"yogurt, pita, garlic, chicken, cumin"
Japanese Ramen,"noodles, scallions, egg, pork, broth, ginger"
Tacos,"beef, salsa, cheese, tortilla, lettuce"
Shawarma,"garlic, pita, yogurt, cumin, chicken"
Greek Salad,"cucumber, tomato, dressing, lettuce, olives, feta cheese"
Pasta Carbonara,"olive oil, basil, pasta, cheese, tomato sauce"
Shawarma,"chicken, garlic, cumin, yogurt, pita"
BBQ Ribs,"brown sugar, BBQ sauce, spices, pork"
Pancakes,"butter, milk, flour, vanilla"
Japanese Ramen,"egg, noodles, scallions, broth, pork, ginger"
Spring Rolls,"shrimp, rice paper, peanut sauce, cabbage, carrots"
Clam Chowder,"onion, potato, celery, cream"
Lasagna,"ground beef, onion, pasta, garlic, cheese"
Shawarma,"chicken, yogurt, pita, cumin, garlic"
Sushi,"avocado, rice, soy sauce, seaweed, salmon"
Pho,"lime, rice noodles, broth, basil, chili, beef"
Spring Rolls,"rice paper, peanut sauce, shrimp, carrots"
Butter Chicken,"chicken, onions, coconut milk, curry powder, spices"
Turkey Sandwich,"bread, lettuce, cheese, turkey"
Beef Steak,"beef, garlic, salt, pepper, butter"
Cereal,"milk, oats, nuts, fruits"
Tacos,"tortilla, beef, salsa, lettuce, cheese"
Japanese Ramen,"scallions, egg, noodles, pork"
Dim Sum,"dumpling wrapper, pork, soy sauce, ginger, shrimp"
Cereal,"oats, honey, fruits, nuts, milk"
Turkey Sandwich,"turkey, mayonnaise, tomato, cheese, bread, lettuce"
Clam Chowder,"clam, celery, onion, cream, potato"
Beef Steak,"salt, beef, pepper, garlic"
Spanish Paella,"onions, saffron, rice, seafood"
Pho,"beef, rice noodles, broth, basil, chili, lime"
Caesar Salad,"croutons, Caesar dressing, parmesan, lettuce, chicken"
Clam Chowder,"clam, potato, onion, cream, celery"
Pho,"beef, broth, lime, rice noodles, chili"
Pho,"beef, basil, lime, chili, broth, rice noodles"
Pasta Carbonara,"olive oil, basil, cheese, tomato sauce, pasta"
Lasagna,"pasta, onion, cheese, ground beef"
Beef Steak,"salt, garlic, pepper, beef, butter"
Turkey Sandwich,"cheese, mayonnaise, lettuce, turkey"
Dim Sum,"dumpling wrapper, pork, ginger, shrimp, soy sauce"
Shawarma,"yogurt, garlic, chicken, cumin"
Pasta Carbonara,"tomato sauce, basil, olive oil, pasta, cheese"
Pad Thai,"shrimp, peanut, lime, egg, rice noodles"
Chicken Biryani,"yogurt, cardamom, saffron, rice"
Butter Chicken,"spices, onions, curry powder, chicken, coconut milk"
Turkey Sandwich,"lettuce, mayonnaise, cheese, bread, tomato, turkey"
Shawarma,"chicken, cumin, garlic, yogurt, pita"
Pho,"lime, chili, basil, beef"
Greek Salad,"dressing, tomato, cucumber, olives, feta cheese, lettuce"
Cereal,"honey, milk, oats, nuts, fruits"
BBQ Ribs,"brown sugar, BBQ sauce, pork, spices, garlic"
Turkey Sandwich,"turkey, mayonnaise, bread, lettuce, tomato, cheese"
Pancakes,"sugar, butter, vanilla, milk, eggs, flour"
Cereal,"oats, honey, fruits, milk, nuts"
Tacos,"tortilla, beef, salsa, cheese"
BBQ Ribs,"pork, spices, BBQ sauce, brown sugar, garlic"
Clam Chowder,"cream, onion, clam, potato, celery"
Pasta Carbonara,"cheese, pasta, olive oil, basil, tomato sauce"
Shawarma,"chicken, garlic, cumin, yogurt, pita"
Japanese Ramen,"noodles, broth, pork, egg, scallions, ginger"
Dim Sum,"soy sauce, shrimp, pork, ginger"
Pho,"beef, broth, rice noodles, chili, lime, basil"
Clam Chowder,"onion, clam, potato, cream, celery"
Omelette,"cheese, eggs, butter, onions, salt"
Pho,"beef, basil, lime, broth"
Pancakes,"eggs, butter, vanilla, flour"
Shawarma,"pita, chicken, garlic, cumin, yogurt"
Greek Salad,"feta cheese, lettuce, olives, dressing"
Beef Steak,"beef, butter, pepper, garlic"
Clam Chowder,"cream, onion, clam, potato, celery"
Lasagna,"pasta, ground beef, cheese, onion"
Pasta Carbonara,"cheese, tomato sauce, pasta, basil, olive oil"
Turkey Sandwich,"mayonnaise, lettuce, turkey, cheese, bread"
Pasta Carbonara,"olive oil, basil, cheese, pasta, tomato sauce"
Caesar Salad,"parmesan, croutons, chicken, Caesar dressing"
Chicken Biryani,"yogurt, chicken, rice, cardamom"
Dim Sum,"shrimp, ginger, soy sauce, pork, dumpling wrapper"
Pad Thai,"peanut, shrimp, rice noodles, egg"
Shawarma,"pita, garlic, cumin, yogurt"
Butter Chicken,"curry powder, coconut milk, chicken, spices"
Chicken Biryani,"saffron, chicken, yogurt, spices, cardamom"
Spanish Paella,"saffron, rice, peppers, onions"
Chicken Biryani,"saffron, chicken, cardamom, spices"
Beef Steak,"beef, butter, garlic, salt"
Turkey Sandwich,"mayonnaise, bread, tomato, lettuce, cheese, turkey"
Japanese Ramen,"noodles, ginger, broth, egg"
Lasagna,"garlic, tomato sauce, cheese, pasta, onion, ground beef"
Spring Rolls,"cabbage, shrimp, rice paper, carrots, peanut sauce"
Pasta Carbonara,"basil, cheese, tomato sauce, olive oil, pasta"
BBQ Ribs,"garlic, pork, BBQ sauce, brown sugar"
Pasta Carbonara,"pasta, tomato sauce, cheese, basil, olive oil"
Pho,"beef, lime, rice noodles, broth, chili"
Cereal,"milk, nuts, fruits, oats, honey"
Beef Steak,"beef, salt, pepper, garlic"
Caesar Salad,"croutons, parmesan, Caesar dressing, lettuce, chicken"
Sushi,"seaweed, avocado, soy sauce, rice"
Spanish Paella,"rice, seafood, saffron, onions, peppers"
Butter Chicken,"coconut milk, onions, curry powder, chicken, spices"
Cereal,"oats, milk, fruits, honey, nuts"
Lasagna,"garlic, pasta, tomato sauce, ground beef, cheese, onion"
BBQ Ribs,"garlic, spices, brown sugar, BBQ sauce, pork"
Clam Chowder,"cream, celery, potato, onion"
Turkey Sandwich,"turkey, mayonnaise, bread, lettuce"
Dim Sum,"ginger, dumpling wrapper, pork, shrimp"
Spanish Paella,"onions, peppers, saffron, rice"
Dim Sum,"ginger, pork, dumpling wrapper, soy sauce"
Sushi,"rice, seaweed, soy sauce, avocado, salmon"
Grilled Chicken,"garlic, seasoning, lettuce, tomato"
BBQ Ribs,"spices, BBQ sauce, garlic, pork, brown sugar"
Spanish Paella,"seafood, rice, peppers, onions, saffron"
Pancakes,"vanilla, sugar, eggs, butter, flour, milk"
Tacos,"lettuce, cheese, tortilla, beef, salsa"
Beef Steak,"salt, butter, pepper, garlic, beef"
Lasagna,"pasta, garlic, ground beef, cheese"
Spanish Paella,"rice, onions, saffron, seafood"
Pho,"lime, basil, rice noodles, broth"
Omelette,"butter, cheese, eggs, salt"
Butter Chicken,"curry powder, onions, coconut milk, chicken, spices"
Omelette,"butter, pepper, salt, onions"
Spanish Paella,"peppers, onions, rice, saffron, seafood"
Caesar Salad,"parmesan, lettuce, croutons, Caesar dressing"
Butter Chicken,"onions, chicken, coconut milk, curry powder, spices"
Spanish Paella,"rice, seafood, saffron, onions, peppers"
Pasta Carbonara,"tomato sauce, olive oil, basil, pasta"
Greek Salad,"dressing, olives, cucumber, tomato, feta cheese, lettuce"
Butter Chicken,"onions, spices, curry powder, chicken, coconut milk"
Cereal,"nuts, milk, oats, fruits, honey"
Greek Salad,"olives, dressing, tomato, feta cheese, lettuce"
Pasta Carbonara,"basil, cheese, pasta, olive oil"
Tacos,"beef, tortilla, cheese, salsa"
Pancakes,"butter, milk, flour, vanilla, sugar"
Tacos,"salsa, beef, lettuce, cheese"
Pancakes,"butter, flour, eggs, sugar, vanilla"
Clam Chowder,"onion, cream, clam, celery, potato"
