Dish Name,Ingredients,Cluster,Cluster_Label
dim sum,"soy sauce, pork, shrimp, ginger, dumpling wrapper",4,Asian & Stir Fry
pad thai,"lime, shrimp, rice noodles, egg, peanut",3,Baked Dishes
japanese ramen,"pork, noodles, broth, ginger, scallion",4,Asian & Stir Fry
pho,"broth, basil, chili, beef, lime",3,Baked Dishes
caesar salad,"parmesan, chicken, lettuce, croutons, caesar dressing",6,Grilled & Roasted
shawarma,"yogurt, pita, garlic, cumin, chicken",2,Curries & Stews
pancakes,"butter, flour, eggs, milk, vanilla",0,Salads & Wraps
bbq ribs,"bbq sauce, pork, spices, garlic",2,Curries & Stews
dim sum,"pork, soy sauce, dumpling wrapper, ginger",4,Asian & Stir Fry
cereal,"milk, nuts, fruits, oats, honey",0,Salads & Wraps
pho,"chili, beef, rice noodles, basil, broth",3,Baked Dishes
omelette,"salt, pepper, butter, cheese, onion",5,Breakfast & Brunch
pancakes,"eggs, milk, butter, vanilla",0,Salads & Wraps
lasagna,"cheese, tomato sauce, pasta, onion, ground beef, garlic",1,Desserts & Pastries
grilled chicken,"garlic, seasoning, tomato, chicken",6,Grilled & Roasted
turkey sandwich,"cheese, bread, tomato, turkey",6,Grilled & Roasted
omelette,"pepper, eggs, salt, onions, butter",5,Breakfast & Brunch
grilled chicken,"seasoning, chicken, lettuce, garlic, tomato",6,Grilled & Roasted
greek salad,"olives, lettuce, cucumber, tomato",6,Grilled & Roasted
greek salad,"olives, feta cheese, dressing, tomato, cucumber",6,Grilled & Roasted
caesar salad,"chicken, parmesan, croutons, lettuce, caesar dressing",6,Grilled & Roasted
clam chowder,"potato, onion, cream, celery, clam",1,Desserts & Pastries
pho,"beef, rice noodles, chili, basil, lime",3,Baked Dishes
pad thai,"egg, rice noodles, peanut, shrimp",3,Baked Dishes
pad thai,"lime, shrimp, peanut, egg, rice noodle",3,Baked Dishes
pho,"beef, chili, rice noodles, basil",3,Baked Dishes
pasta carbonara,"pasta, cheese, tomato sauce, olive oil",1,Desserts & Pastries
pho,"chili, lime, basil, broth, beef, rice noodle",3,Baked Dishes
butter chicken,"onions, coconut milk, spices, curry powder",2,Curries & Stews
caesar salad,"croutons, parmesan, lettuce, caesar dressing",6,Grilled & Roasted
clam chowder,"cream, potato, onion, celery, clam",1,Desserts & Pastries
pasta carbonara,"tomato sauce, cheese, basil, olive oil, pasta",1,Desserts & Pastries
beef steak,"butter, beef, garlic, salt",5,Breakfast & Brunch
shawarma,"garlic, pita, chicken, yogurt, cumin",2,Curries & Stews
spanish paella,"seafood, saffron, peppers, rice",2,Curries & Stews
spring rolls,"carrots, shrimp, peanut sauce, rice paper, cabbage",3,Baked Dishes
japanese ramen,"egg, pork, noodles, ginger, broth, scallion",4,Asian & Stir Fry
pancakes,"milk, vanilla, sugar, flour",0,Salads & Wraps
lasagna,"cheese, ground beef, tomato sauce, garlic, pasta, onion",1,Desserts & Pastries
dim sum,"pork, soy sauce, dumpling wrapper, shrimp, ginger",4,Asian & Stir Fry
chicken biryani,"saffron, chicken, rice, cardamom, yogurt",2,Curries & Stews
pho,"lime, broth, basil, rice noodle",3,Baked Dishes
pad thai,"shrimp, peanut, lime, egg, rice noodle",3,Baked Dishes
turkey sandwich,"bread, lettuce, cheese, turkey, tomato",6,Grilled & Roasted
clam chowder,"cream, onion, celery, clam",1,Desserts & Pastries
turkey sandwich,"cheese, tomato, bread, lettuce, turkey, mayonnaise",6,Grilled & Roasted
omelette,"eggs, salt, butter, pepper, cheese",5,Breakfast & Brunch
chicken biryani,"yogurt, rice, saffron, cardamom",2,Curries & Stews
turkey sandwich,"bread, mayonnaise, turkey, tomato, cheese",6,Grilled & Roasted
sushi,"avocado, soy sauce, salmon, seaweed, rice",2,Curries & Stews
pad thai,"rice noodles, shrimp, peanut, lime, egg",3,Baked Dishes
greek salad,"lettuce, feta cheese, olives, dressing, cucumber",6,Grilled & Roasted
lasagna,"ground beef, cheese, onion, garlic, pasta",1,Desserts & Pastries
lasagna,"cheese, onion, tomato sauce, pasta, ground beef, garlic",1,Desserts & Pastries
omelette,"cheese, pepper, salt, onions, egg",5,Breakfast & Brunch
beef steak,"garlic, pepper, salt, butter",5,Breakfast & Brunch
clam chowder,"celery, potato, onion, cream",1,Desserts & Pastries
pancakes,"eggs, sugar, milk, flour",0,Salads & Wraps
spanish paella,"saffron, rice, seafood, onions, pepper",2,Curries & Stews
pho,"basil, chili, rice noodles, broth",3,Baked Dishes
omelette,"onions, butter, pepper, salt, cheese, egg",5,Breakfast & Brunch
butter chicken,"chicken, onions, coconut milk, spices, curry powder",2,Curries & Stews
chicken biryani,"yogurt, chicken, spices, saffron, rice",2,Curries & Stews
spring rolls,"cabbage, carrots, peanut sauce, shrimp, rice paper",3,Baked Dishes
pancakes,"butter, milk, vanilla, sugar, flour, egg",0,Salads & Wraps
pho,"basil, chili, rice noodles, lime, beef, broth",3,Baked Dishes
sushi,"avocado, rice, soy sauce, salmon, seaweed",2,Curries & Stews
japanese ramen,"broth, ginger, egg, noodles, scallions, pork",4,Asian & Stir Fry
japanese ramen,"broth, ginger, egg, noodles, pork, scallion",4,Asian & Stir Fry
clam chowder,"clam, onion, celery, cream",1,Desserts & Pastries
bbq ribs,"pork, brown sugar, spices, bbq sauce",2,Curries & Stews
beef steak,"beef, butter, salt, garlic",5,Breakfast & Brunch
greek salad,"lettuce, olives, dressing, feta cheese",6,Grilled & Roasted
pancakes,"milk, vanilla, butter, egg",0,Salads & Wraps
japanese ramen,"egg, scallions, broth, pork, noodles, ginger",4,Asian & Stir Fry
lasagna,"garlic, ground beef, onion, pasta, cheese",1,Desserts & Pastries
pancakes,"flour, vanilla, eggs, milk, butter, sugar",0,Salads & Wraps
dim sum,"soy sauce, pork, ginger, shrimp",4,Asian & Stir Fry
spanish paella,"saffron, rice, peppers, onion",2,Curries & Stews
greek salad,"tomato, olives, dressing, feta cheese, lettuce, cucumber",6,Grilled & Roasted
spanish paella,"onions, peppers, saffron, rice, seafood",2,Curries & Stews
clam chowder,"cream, celery, onion, potato, clam",1,Desserts & Pastries
turkey sandwich,"turkey, cheese, mayonnaise, lettuce",6,Grilled & Roasted
sushi,"seaweed, avocado, salmon, rice, soy sauce",2,Curries & Stews
pasta carbonara,"pasta, olive oil, tomato sauce, cheese",1,Desserts & Pastries
shawarma,"cumin, chicken, pita, garlic, yogurt",2,Curries & Stews
pad thai,"lime, egg, rice noodles, peanut, shrimp",3,Baked Dishes
clam chowder,"celery, onion, clam, cream",1,Desserts & Pastries
chicken biryani,"spices, cardamom, yogurt, chicken, rice",2,Curries & Stews
chicken biryani,"yogurt, chicken, cardamom, rice, saffron, spice",2,Curries & Stews
greek salad,"lettuce, cucumber, olives, dressing, tomato",6,Grilled & Roasted
shawarma,"garlic, chicken, cumin, yogurt",2,Curries & Stews
lasagna,"pasta, garlic, ground beef, cheese, tomato sauce",1,Desserts & Pastries
spring rolls,"rice paper, peanut sauce, carrots, cabbage",3,Baked Dishes
greek salad,"tomato, cucumber, lettuce, olives, dressing, feta cheese",6,Grilled & Roasted
grilled chicken,"tomato, seasoning, garlic, chicken, lettuce",6,Grilled & Roasted
pho,"beef, rice noodles, chili, basil, lime, broth",3,Baked Dishes
japanese ramen,"ginger, egg, scallions, noodle",4,Asian & Stir Fry
butter chicken,"chicken, onions, coconut milk, spice",2,Curries & Stews
greek salad,"tomato, olives, cucumber, lettuce, dressing",6,Grilled & Roasted
sushi,"rice, salmon, soy sauce, seaweed, avocado",2,Curries & Stews
japanese ramen,"ginger, pork, broth, noodles, egg, scallion",4,Asian & Stir Fry
dim sum,"dumpling wrapper, ginger, soy sauce, shrimp, pork",4,Asian & Stir Fry
spring rolls,"cabbage, shrimp, rice paper, peanut sauce, carrot",3,Baked Dishes
pho,"chili, rice noodles, basil, lime, broth",3,Baked Dishes
spanish paella,"rice, saffron, peppers, seafood, onion",2,Curries & Stews
pho,"beef, rice noodles, chili, broth, basil, lime",3,Baked Dishes
tacos,"salsa, cheese, lettuce, beef, tortilla",6,Grilled & Roasted
shawarma,"cumin, yogurt, garlic, pita, chicken",2,Curries & Stews
butter chicken,"chicken, coconut milk, onions, curry powder, spice",2,Curries & Stews
caesar salad,"parmesan, chicken, caesar dressing, lettuce, crouton",6,Grilled & Roasted
chicken biryani,"cardamom, chicken, rice, spice",2,Curries & Stews
pad thai,"peanut, shrimp, lime, egg",3,Baked Dishes
caesar salad,"parmesan, croutons, chicken, caesar dressing",6,Grilled & Roasted
chicken biryani,"cardamom, spices, chicken, saffron, rice",2,Curries & Stews
tacos,"beef, lettuce, salsa, cheese, tortilla",6,Grilled & Roasted
cereal,"fruits, oats, milk, nuts, honey",0,Salads & Wraps
pho,"basil, beef, lime, rice noodles, chili, broth",3,Baked Dishes
pad thai,"rice noodles, lime, shrimp, egg, peanut",3,Baked Dishes
lasagna,"pasta, tomato sauce, garlic, ground beef",1,Desserts & Pastries
grilled chicken,"lettuce, tomato, seasoning, chicken, garlic",6,Grilled & Roasted
dim sum,"pork, dumpling wrapper, ginger, soy sauce, shrimp",4,Asian & Stir Fry
dim sum,"pork, shrimp, ginger, dumpling wrapper",4,Asian & Stir Fry
chicken biryani,"spices, saffron, yogurt, cardamom",2,Curries & Stews
chicken biryani,"saffron, chicken, yogurt, spices, rice, cardamom",2,Curries & Stews
bbq ribs,"garlic, brown sugar, pork, spice",2,Curries & Stews
butter chicken,"coconut milk, chicken, onions, curry powder, spice",2,Curries & Stews
chicken biryani,"chicken, saffron, spices, cardamom, yogurt, rice",2,Curries & Stews
pancakes,"milk, sugar, flour, eggs, vanilla",0,Salads & Wraps
japanese ramen,"noodles, broth, pork, egg, ginger, scallion",4,Asian & Stir Fry
pancakes,"vanilla, eggs, sugar, flour, milk",0,Salads & Wraps
chicken biryani,"rice, saffron, chicken, spices, yogurt, cardamom",2,Curries & Stews
pancakes,"sugar, eggs, vanilla, milk",0,Salads & Wraps
pancakes,"sugar, vanilla, flour, eggs, milk, butter",0,Salads & Wraps
pasta carbonara,"pasta, basil, cheese, tomato sauce, olive oil",1,Desserts & Pastries
spanish paella,"onions, peppers, seafood, rice, saffron",2,Curries & Stews
clam chowder,"potato, celery, clam, cream, onion",1,Desserts & Pastries
pad thai,"lime, peanut, shrimp, egg",3,Baked Dishes
pancakes,"butter, milk, eggs, sugar, flour",0,Salads & Wraps
caesar salad,"chicken, caesar dressing, lettuce, parmesan, crouton",6,Grilled & Roasted
clam chowder,"onion, clam, celery, cream",1,Desserts & Pastries
chicken biryani,"spices, chicken, saffron, cardamom",2,Curries & Stews
tacos,"lettuce, tortilla, salsa, beef, cheese",6,Grilled & Roasted
japanese ramen,"egg, ginger, pork, scallions, noodle",4,Asian & Stir Fry
beef steak,"garlic, butter, salt, pepper, beef",5,Breakfast & Brunch
clam chowder,"clam, potato, cream, onion",1,Desserts & Pastries
turkey sandwich,"turkey, mayonnaise, tomato, bread",6,Grilled & Roasted
pho,"beef, broth, rice noodles, basil, lime, chili",3,Baked Dishes
bbq ribs,"spices, garlic, pork, brown sugar, bbq sauce",2,Curries & Stews
beef steak,"beef, pepper, garlic, butter, salt",5,Breakfast & Brunch
spanish paella,"seafood, onions, rice, peppers, saffron",2,Curries & Stews
chicken biryani,"rice, saffron, yogurt, spices, chicken",2,Curries & Stews
shawarma,"yogurt, chicken, cumin, pita, garlic",2,Curries & Stews
butter chicken,"spices, coconut milk, onions, curry powder, chicken",2,Curries & Stews
pho,"broth, chili, rice noodles, basil, lime",3,Baked Dishes
chicken biryani,"cardamom, spices, chicken, yogurt, saffron, rice",2,Curries & Stews
pho,"broth, rice noodles, lime, beef, chili, basil",3,Baked Dishes
grilled chicken,"lettuce, chicken, tomato, seasoning, garlic",6,Grilled & Roasted
tacos,"lettuce, beef, cheese, salsa",6,Grilled & Roasted
pancakes,"vanilla, eggs, sugar, butter, flour, milk",0,Salads & Wraps
clam chowder,"onion, potato, clam, cream",1,Desserts & Pastries
butter chicken,"curry powder, coconut milk, chicken, spices, onion",2,Curries & Stews
butter chicken,"chicken, onions, spices, curry powder",2,Curries & Stews
pasta carbonara,"cheese, olive oil, pasta, basil, tomato sauce",1,Desserts & Pastries
pasta carbonara,"tomato sauce, pasta, basil, olive oil, cheese",1,Desserts & Pastries
spanish paella,"rice, seafood, onions, peppers, saffron",2,Curries & Stews
pancakes,"milk, flour, vanilla, butter, eggs, sugar",0,Salads & Wraps
dim sum,"dumpling wrapper, shrimp, ginger, pork, soy sauce",4,Asian & Stir Fry
dim sum,"shrimp, ginger, dumpling wrapper, pork",4,Asian & Stir Fry
tacos,"lettuce, salsa, tortilla, cheese, beef",6,Grilled & Roasted
cereal,"fruits, oats, nuts, milk",0,Salads & Wraps
sushi,"salmon, avocado, seaweed, rice",2,Curries & Stews
cereal,"oats, nuts, honey, fruit",0,Salads & Wraps
grilled chicken,"garlic, lettuce, chicken, tomato",6,Grilled & Roasted
pancakes,"flour, eggs, sugar, vanilla",0,Salads & Wraps
pancakes,"milk, vanilla, flour, eggs, butter",0,Salads & Wraps
dim sum,"dumpling wrapper, pork, ginger, shrimp, soy sauce",4,Asian & Stir Fry
spanish paella,"saffron, seafood, onions, rice, pepper",2,Curries & Stews
beef steak,"butter, beef, garlic, salt, pepper",5,Breakfast & Brunch
japanese ramen,"egg, pork, noodles, ginger, scallions, broth",4,Asian & Stir Fry
cereal,"fruits, nuts, oats, milk, honey",0,Salads & Wraps
pho,"chili, broth, beef, basil",3,Baked Dishes
beef steak,"garlic, beef, salt, butter, pepper",5,Breakfast & Brunch
pho,"broth, rice noodles, basil, lime, beef",3,Baked Dishes
pasta carbonara,"olive oil, pasta, basil, cheese",1,Desserts & Pastries
sushi,"rice, avocado, salmon, seaweed",2,Curries & Stews
pasta carbonara,"pasta, olive oil, tomato sauce, cheese, basil",1,Desserts & Pastries
pad thai,"rice noodles, peanut, egg, lime",3,Baked Dishes
lasagna,"tomato sauce, onion, pasta, cheese",1,Desserts & Pastries
chicken biryani,"spices, yogurt, rice, chicken",2,Curries & Stews
spanish paella,"peppers, rice, seafood, onion",2,Curries & Stews
pho,"chili, rice noodles, broth, basil, lime",3,Baked Dishes
spring rolls,"peanut sauce, shrimp, cabbage, carrot",3,Baked Dishes
bbq ribs,"garlic, brown sugar, spices, bbq sauce, pork",2,Curries & Stews
pho,"lime, chili, basil, broth, rice noodle",3,Baked Dishes
omelette,"onions, salt, butter, eggs, cheese",5,Breakfast & Brunch
beef steak,"garlic, salt, butter, pepper",5,Breakfast & Brunch
dim sum,"pork, dumpling wrapper, ginger, shrimp, soy sauce",4,Asian & Stir Fry
dim sum,"shrimp, pork, soy sauce, dumpling wrapper",4,Asian & Stir Fry
dim sum,"pork, shrimp, soy sauce, ginger, dumpling wrapper",4,Asian & Stir Fry
tacos,"salsa, tortilla, cheese, beef, lettuce",6,Grilled & Roasted
sushi,"avocado, rice, seaweed, salmon",2,Curries & Stews
pad thai,"shrimp, rice noodles, lime, egg, peanut",3,Baked Dishes
butter chicken,"chicken, coconut milk, spices, curry powder",2,Curries & Stews
pho,"basil, beef, chili, broth",3,Baked Dishes
pad thai,"shrimp, lime, peanut, egg",3,Baked Dishes
turkey sandwich,"tomato, cheese, turkey, mayonnaise, bread, lettuce",6,Grilled & Roasted
bbq ribs,"bbq sauce, garlic, spices, pork",2,Curries & Stews
greek salad,"olives, dressing, lettuce, cucumber, feta cheese, tomato",6,Grilled & Roasted
japanese ramen,"noodles, ginger, pork, broth",4,Asian & Stir Fry
chicken biryani,"cardamom, chicken, spices, rice, yogurt, saffron",2,Curries & Stews
turkey sandwich,"bread, tomato, lettuce, turkey, mayonnaise",6,Grilled & Roasted
pasta carbonara,"tomato sauce, olive oil, cheese, pasta",1,Desserts & Pastries
spanish paella,"seafood, saffron, rice, onion",2,Curries & Stews
butter chicken,"curry powder, spices, onions, chicken, coconut milk",2,Curries & Stews
pho,"chili, basil, lime, broth",3,Baked Dishes
pancakes,"eggs, sugar, butter, milk, vanilla",0,Salads & Wraps
japanese ramen,"egg, broth, scallions, noodle",4,Asian & Stir Fry
pho,"basil, beef, broth, lime, chili",3,Baked Dishes
cereal,"honey, nuts, oats, milk, fruit",0,Salads & Wraps
clam chowder,"potato, clam, celery, onion, cream",1,Desserts & Pastries
greek salad,"tomato, olives, feta cheese, cucumber",6,Grilled & Roasted
pho,"broth, chili, beef, basil, lime, rice noodle",3,Baked Dishes
caesar salad,"parmesan, lettuce, chicken, caesar dressing",6,Grilled & Roasted
pad thai,"shrimp, lime, egg, rice noodles, peanut",3,Baked Dishes
japanese ramen,"ginger, pork, noodles, broth, scallion",4,Asian & Stir Fry
pad thai,"egg, peanut, lime, shrimp",3,Baked Dishes
lasagna,"ground beef, cheese, onion, tomato sauce, garlic, pasta",1,Desserts & Pastries
omelette,"cheese, butter, pepper, egg",5,Breakfast & Brunch
japanese ramen,"ginger, scallions, noodles, egg, broth, pork",4,Asian & Stir Fry
pancakes,"milk, flour, eggs, sugar",0,Salads & Wraps
cereal,"milk, honey, nuts, oats, fruit",0,Salads & Wraps
chicken biryani,"spices, saffron, chicken, yogurt, rice, cardamom",2,Curries & Stews
chicken biryani,"chicken, rice, spices, saffron",2,Curries & Stews
japanese ramen,"scallions, ginger, egg, broth, noodle",4,Asian & Stir Fry
omelette,"salt, cheese, onions, pepper, butter, egg",5,Breakfast & Brunch
tacos,"beef, salsa, lettuce, tortilla",6,Grilled & Roasted
chicken biryani,"chicken, saffron, yogurt, spices, cardamom, rice",2,Curries & Stews
greek salad,"lettuce, dressing, olives, tomato",6,Grilled & Roasted
japanese ramen,"egg, pork, scallions, noodles, ginger",4,Asian & Stir Fry
dim sum,"soy sauce, ginger, pork, dumpling wrapper",4,Asian & Stir Fry
lasagna,"pasta, tomato sauce, onion, garlic, cheese",1,Desserts & Pastries
japanese ramen,"noodles, broth, scallions, ginger, pork, egg",4,Asian & Stir Fry
cereal,"oats, fruits, milk, honey",0,Salads & Wraps
bbq ribs,"spices, bbq sauce, pork, brown sugar",2,Curries & Stews
dim sum,"pork, dumpling wrapper, shrimp, soy sauce, ginger",4,Asian & Stir Fry
dim sum,"dumpling wrapper, pork, ginger, soy sauce",4,Asian & Stir Fry
lasagna,"tomato sauce, pasta, garlic, ground beef, cheese",1,Desserts & Pastries
pasta carbonara,"olive oil, basil, cheese, pasta, tomato sauce",1,Desserts & Pastries
omelette,"cheese, salt, butter, onions, pepper, egg",5,Breakfast & Brunch
pancakes,"sugar, eggs, flour, vanilla, butter",0,Salads & Wraps
lasagna,"tomato sauce, cheese, ground beef, pasta, onion, garlic",1,Desserts & Pastries
spring rolls,"peanut sauce, carrots, shrimp, cabbage, rice paper",3,Baked Dishes
chicken biryani,"yogurt, saffron, rice, chicken, spices, cardamom",2,Curries & Stews
greek salad,"cucumber, feta cheese, olives, tomato, dressing",6,Grilled & Roasted
spring rolls,"carrots, shrimp, peanut sauce, cabbage",3,Baked Dishes
cereal,"nuts, fruits, honey, milk, oat",0,Salads & Wraps
spring rolls,"carrots, rice paper, shrimp, cabbage",3,Baked Dishes
tacos,"cheese, tortilla, lettuce, salsa, beef",6,Grilled & Roasted
spring rolls,"shrimp, carrots, cabbage, peanut sauce, rice paper",3,Baked Dishes
turkey sandwich,"tomato, mayonnaise, turkey, bread, cheese, lettuce",6,Grilled & Roasted
omelette,"pepper, onions, eggs, butter, salt, cheese",5,Breakfast & Brunch
omelette,"eggs, cheese, pepper, butter",5,Breakfast & Brunch
japanese ramen,"noodles, egg, ginger, broth, scallions, pork",4,Asian & Stir Fry
greek salad,"tomato, lettuce, cucumber, dressing, feta cheese",6,Grilled & Roasted
caesar salad,"croutons, chicken, parmesan, lettuce, caesar dressing",6,Grilled & Roasted
japanese ramen,"ginger, noodles, egg, pork, broth, scallion",4,Asian & Stir Fry
butter chicken,"spices, chicken, coconut milk, onions, curry powder",2,Curries & Stews
spanish paella,"onions, rice, seafood, pepper",2,Curries & Stews
spring rolls,"shrimp, rice paper, cabbage, peanut sauce, carrot",3,Baked Dishes
spring rolls,"rice paper, shrimp, peanut sauce, cabbage, carrot",3,Baked Dishes
japanese ramen,"pork, scallions, egg, broth, ginger, noodle",4,Asian & Stir Fry
butter chicken,"curry powder, onions, chicken, spices, coconut milk",2,Curries & Stews
turkey sandwich,"turkey, bread, cheese, mayonnaise, lettuce",6,Grilled & Roasted
butter chicken,"chicken, onions, coconut milk, curry powder, spice",2,Curries & Stews
bbq ribs,"brown sugar, bbq sauce, spices, garlic",2,Curries & Stews
cereal,"fruits, milk, nuts, oats, honey",0,Salads & Wraps
dim sum,"pork, dumpling wrapper, soy sauce, shrimp",4,Asian & Stir Fry
lasagna,"pasta, garlic, tomato sauce, onion",1,Desserts & Pastries
dim sum,"dumpling wrapper, pork, shrimp, soy sauce",4,Asian & Stir Fry
shawarma,"pita, yogurt, garlic, chicken, cumin",2,Curries & Stews
omelette,"salt, cheese, eggs, pepper, butter, onion",5,Breakfast & Brunch
pho,"basil, broth, lime, beef, chili",3,Baked Dishes
turkey sandwich,"turkey, bread, tomato, cheese",6,Grilled & Roasted
shawarma,"chicken, yogurt, pita, cumin",2,Curries & Stews
pasta carbonara,"basil, tomato sauce, pasta, cheese",1,Desserts & Pastries
butter chicken,"spices, coconut milk, curry powder, chicken",2,Curries & Stews
greek salad,"dressing, cucumber, lettuce, feta cheese, tomato, olive",6,Grilled & Roasted
chicken biryani,"yogurt, cardamom, spices, rice, chicken, saffron",2,Curries & Stews
pad thai,"egg, shrimp, peanut, lime",3,Baked Dishes
greek salad,"olives, feta cheese, cucumber, lettuce",6,Grilled & Roasted
omelette,"butter, cheese, eggs, pepper, salt",5,Breakfast & Brunch
caesar salad,"lettuce, croutons, caesar dressing, parmesan, chicken",6,Grilled & Roasted
pancakes,"butter, milk, eggs, vanilla, sugar, flour",0,Salads & Wraps
cereal,"nuts, milk, honey, oat",0,Salads & Wraps
beef steak,"beef, garlic, salt, butter",5,Breakfast & Brunch
pho,"basil, beef, chili, lime, broth",3,Baked Dishes
cereal,"honey, milk, nuts, fruits, oat",0,Salads & Wraps
omelette,"butter, cheese, salt, onions, egg",5,Breakfast & Brunch
turkey sandwich,"lettuce, tomato, bread, mayonnaise, turkey, cheese",6,Grilled & Roasted
bbq ribs,"brown sugar, garlic, bbq sauce, spices, pork",2,Curries & Stews
lasagna,"garlic, onion, cheese, tomato sauce",1,Desserts & Pastries
omelette,"cheese, butter, salt, pepper, onion",5,Breakfast & Brunch
turkey sandwich,"bread, mayonnaise, tomato, lettuce, turkey",6,Grilled & Roasted
chicken biryani,"rice, saffron, cardamom, spices, yogurt, chicken",2,Curries & Stews
chicken biryani,"chicken, rice, yogurt, saffron, spice",2,Curries & Stews
caesar salad,"croutons, caesar dressing, chicken, lettuce",6,Grilled & Roasted
spanish paella,"saffron, peppers, rice, onions, seafood",2,Curries & Stews
greek salad,"cucumber, tomato, dressing, lettuce, feta cheese",6,Grilled & Roasted
pho,"rice noodles, broth, basil, lime, beef, chili",3,Baked Dishes
cereal,"honey, nuts, milk, oats, fruit",0,Salads & Wraps
omelette,"pepper, eggs, onions, salt, cheese",5,Breakfast & Brunch
dim sum,"shrimp, pork, soy sauce, ginger",4,Asian & Stir Fry
lasagna,"garlic, ground beef, tomato sauce, onion, pasta, cheese",1,Desserts & Pastries
japanese ramen,"pork, ginger, noodles, broth, scallions, egg",4,Asian & Stir Fry
beef steak,"pepper, butter, beef, salt, garlic",5,Breakfast & Brunch
spanish paella,"seafood, peppers, rice, saffron, onion",2,Curries & Stews
pho,"basil, rice noodles, beef, lime",3,Baked Dishes
clam chowder,"cream, celery, potato, clam, onion",1,Desserts & Pastries
beef steak,"butter, garlic, pepper, salt",5,Breakfast & Brunch
greek salad,"dressing, feta cheese, cucumber, tomato",6,Grilled & Roasted
pasta carbonara,"tomato sauce, basil, pasta, olive oil, cheese",1,Desserts & Pastries
pho,"beef, basil, broth, lime, rice noodle",3,Baked Dishes
clam chowder,"cream, clam, celery, onion, potato",1,Desserts & Pastries
japanese ramen,"egg, broth, ginger, scallion",4,Asian & Stir Fry
pancakes,"eggs, sugar, flour, butter, vanilla",0,Salads & Wraps
chicken biryani,"cardamom, spices, chicken, rice, yogurt",2,Curries & Stews
bbq ribs,"brown sugar, bbq sauce, garlic, pork, spice",2,Curries & Stews
japanese ramen,"noodles, egg, scallions, broth",4,Asian & Stir Fry
cereal,"oats, milk, fruits, honey",0,Salads & Wraps
tacos,"beef, salsa, cheese, tortilla, lettuce",6,Grilled & Roasted
turkey sandwich,"cheese, bread, turkey, mayonnaise, lettuce, tomato",6,Grilled & Roasted
chicken biryani,"cardamom, chicken, saffron, rice",2,Curries & Stews
spanish paella,"seafood, peppers, onions, saffron, rice",2,Curries & Stews
greek salad,"lettuce, feta cheese, cucumber, dressing, tomato",6,Grilled & Roasted
omelette,"salt, onions, cheese, butter, egg",5,Breakfast & Brunch
tacos,"beef, cheese, salsa, tortilla, lettuce",6,Grilled & Roasted
japanese ramen,"egg, noodles, broth, pork",4,Asian & Stir Fry
turkey sandwich,"tomato, lettuce, cheese, mayonnaise, turkey",6,Grilled & Roasted
greek salad,"cucumber, dressing, lettuce, olives, tomato, feta cheese",6,Grilled & Roasted
beef steak,"pepper, beef, butter, garlic, salt",5,Breakfast & Brunch
bbq ribs,"pork, garlic, bbq sauce, spices, brown sugar",2,Curries & Stews
pasta carbonara,"pasta, cheese, tomato sauce, basil",1,Desserts & Pastries
pancakes,"butter, vanilla, eggs, sugar",0,Salads & Wraps
turkey sandwich,"mayonnaise, bread, turkey, lettuce, cheese, tomato",6,Grilled & Roasted
grilled chicken,"chicken, lettuce, garlic, tomato, seasoning",6,Grilled & Roasted
grilled chicken,"chicken, seasoning, garlic, lettuce, tomato",6,Grilled & Roasted
omelette,"pepper, butter, onions, cheese, eggs, salt",5,Breakfast & Brunch
spanish paella,"seafood, onions, peppers, rice, saffron",2,Curries & Stews
japanese ramen,"scallions, pork, egg, ginger",4,Asian & Stir Fry
cereal,"oats, nuts, milk, fruits, honey",0,Salads & Wraps
lasagna,"tomato sauce, pasta, garlic, ground beef",1,Desserts & Pastries
lasagna,"ground beef, garlic, cheese, onion",1,Desserts & Pastries
chicken biryani,"yogurt, chicken, spices, saffron, cardamom",2,Curries & Stews
dim sum,"pork, soy sauce, ginger, dumpling wrapper",4,Asian & Stir Fry
spring rolls,"peanut sauce, shrimp, rice paper, carrots, cabbage",3,Baked Dishes
pasta carbonara,"cheese, basil, olive oil, tomato sauce, pasta",1,Desserts & Pastries
butter chicken,"spices, coconut milk, onions, chicken, curry powder",2,Curries & Stews
pasta carbonara,"basil, tomato sauce, olive oil, pasta, cheese",1,Desserts & Pastries
lasagna,"tomato sauce, ground beef, cheese, onion, garlic, pasta",1,Desserts & Pastries
cereal,"oats, milk, nuts, fruit",0,Salads & Wraps
butter chicken,"spices, onions, chicken, coconut milk",2,Curries & Stews
spring rolls,"shrimp, rice paper, carrots, cabbage, peanut sauce",3,Baked Dishes
lasagna,"onion, tomato sauce, pasta, garlic, ground beef, cheese",1,Desserts & Pastries
shawarma,"yogurt, cumin, garlic, pita",2,Curries & Stews
lasagna,"tomato sauce, garlic, cheese, ground beef, pasta",1,Desserts & Pastries
pho,"basil, broth, lime, chili, beef",3,Baked Dishes
turkey sandwich,"bread, lettuce, mayonnaise, cheese, turkey, tomato",6,Grilled & Roasted
lasagna,"onion, ground beef, cheese, garlic",1,Desserts & Pastries
tacos,"salsa, beef, lettuce, tortilla",6,Grilled & Roasted
caesar salad,"croutons, chicken, caesar dressing, lettuce, parmesan",6,Grilled & Roasted
pasta carbonara,"olive oil, tomato sauce, basil, pasta",1,Desserts & Pastries
